지점,지점명,일시,시정(10m)
90,속초,2022-04-01 00:00,3534
90,속초,2022-04-01 01:00,3717
90,속초,2022-04-01 02:00,4492
90,속초,2022-04-01 03:00,4357
90,속초,2022-04-01 04:00,4402
90,속초,2022-04-01 05:00,4501
90,속초,2022-04-01 06:00,4158
90,속초,2022-04-01 07:00,4455
90,속초,2022-04-01 08:00,4125
90,속초,2022-04-01 09:00,3319
90,속초,2022-04-01 10:00,3854
90,속초,2022-04-01 11:00,4967
90,속초,2022-04-01 12:00,4905
90,속초,2022-04-01 13:00,4957
90,속초,2022-04-01 14:00,5000
90,속초,2022-04-01 15:00,5000
90,속초,2022-04-01 16:00,4931
90,속초,2022-04-01 17:00,4841
90,속초,2022-04-01 18:00,4471
90,속초,2022-04-01 19:00,4250
90,속초,2022-04-01 20:00,4063
90,속초,2022-04-01 21:00,3375
90,속초,2022-04-01 22:00,3673
90,속초,2022-04-01 23:00,4530
90,속초,2022-04-02 00:00,4524
90,속초,2022-04-02 01:00,4416
90,속초,2022-04-02 02:00,4564
90,속초,2022-04-02 03:00,4387
90,속초,2022-04-02 04:00,4478
90,속초,2022-04-02 05:00,4254
90,속초,2022-04-02 06:00,4452
90,속초,2022-04-02 07:00,4161
90,속초,2022-04-02 08:00,3744
90,속초,2022-04-02 09:00,3543
90,속초,2022-04-02 10:00,3842
90,속초,2022-04-02 11:00,4290
90,속초,2022-04-02 12:00,4616
90,속초,2022-04-02 13:00,4196
90,속초,2022-04-02 14:00,4779
90,속초,2022-04-02 15:00,4827
90,속초,2022-04-02 16:00,4173
90,속초,2022-04-02 17:00,3919
90,속초,2022-04-02 18:00,2416
90,속초,2022-04-02 19:00,1881
90,속초,2022-04-02 20:00,2315
90,속초,2022-04-02 21:00,2407
90,속초,2022-04-02 22:00,2924
90,속초,2022-04-02 23:00,2777
90,속초,2022-04-03 00:00,2937
90,속초,2022-04-03 01:00,3383
90,속초,2022-04-03 02:00,3364
90,속초,2022-04-03 03:00,3626
90,속초,2022-04-03 04:00,3898
90,속초,2022-04-03 05:00,3099
90,속초,2022-04-03 06:00,3063
90,속초,2022-04-03 07:00,3045
90,속초,2022-04-03 08:00,2702
90,속초,2022-04-03 09:00,3157
90,속초,2022-04-03 10:00,3175
90,속초,2022-04-03 11:00,3341
90,속초,2022-04-03 12:00,3070
90,속초,2022-04-03 13:00,3416
90,속초,2022-04-03 14:00,3503
90,속초,2022-04-03 15:00,3384
90,속초,2022-04-03 16:00,3544
90,속초,2022-04-03 17:00,3416
90,속초,2022-04-03 18:00,2073
90,속초,2022-04-03 19:00,1911
90,속초,2022-04-03 20:00,1627
90,속초,2022-04-03 21:00,2354
90,속초,2022-04-03 22:00,3289
90,속초,2022-04-03 23:00,4590
90,속초,2022-04-04 00:00,4254
90,속초,2022-04-04 01:00,4296
90,속초,2022-04-04 02:00,3898
90,속초,2022-04-04 03:00,3815
90,속초,2022-04-04 04:00,3672
90,속초,2022-04-04 05:00,3236
90,속초,2022-04-04 06:00,2344
90,속초,2022-04-04 07:00,2716
90,속초,2022-04-04 08:00,2587
90,속초,2022-04-04 09:00,3034
90,속초,2022-04-04 10:00,3056
90,속초,2022-04-04 11:00,3106
90,속초,2022-04-04 12:00,3374
90,속초,2022-04-04 13:00,3717
90,속초,2022-04-04 14:00,3119
90,속초,2022-04-04 15:00,3099
90,속초,2022-04-04 16:00,2514
90,속초,2022-04-04 17:00,2766
90,속초,2022-04-04 18:00,2720
90,속초,2022-04-04 19:00,2518
90,속초,2022-04-04 20:00,2043
90,속초,2022-04-04 21:00,2115
90,속초,2022-04-04 22:00,2384
90,속초,2022-04-04 23:00,2894
90,속초,2022-04-05 00:00,2935
90,속초,2022-04-05 01:00,2638
90,속초,2022-04-05 02:00,2842
90,속초,2022-04-05 03:00,3012
90,속초,2022-04-05 04:00,2817
90,속초,2022-04-05 05:00,2424
90,속초,2022-04-05 06:00,2473
90,속초,2022-04-05 07:00,2653
90,속초,2022-04-05 08:00,3533
90,속초,2022-04-05 09:00,3734
90,속초,2022-04-05 10:00,3884
90,속초,2022-04-05 11:00,4373
90,속초,2022-04-05 12:00,4510
90,속초,2022-04-05 13:00,4842
90,속초,2022-04-05 14:00,4809
90,속초,2022-04-05 15:00,4883
90,속초,2022-04-05 16:00,3527
90,속초,2022-04-05 17:00,2611
90,속초,2022-04-05 18:00,2492
90,속초,2022-04-05 19:00,2528
90,속초,2022-04-05 20:00,2547
90,속초,2022-04-05 21:00,2667
90,속초,2022-04-05 22:00,2749
90,속초,2022-04-05 23:00,2371
90,속초,2022-04-06 00:00,2231
90,속초,2022-04-06 01:00,2049
90,속초,2022-04-06 02:00,2039
90,속초,2022-04-06 03:00,2046
90,속초,2022-04-06 04:00,1952
90,속초,2022-04-06 05:00,2269
90,속초,2022-04-06 06:00,2565
90,속초,2022-04-06 07:00,2437
90,속초,2022-04-06 08:00,2406
90,속초,2022-04-06 09:00,2373
90,속초,2022-04-06 10:00,2345
90,속초,2022-04-06 11:00,2308
90,속초,2022-04-06 12:00,2662
90,속초,2022-04-06 13:00,2845
90,속초,2022-04-06 14:00,3060
90,속초,2022-04-06 15:00,2939
90,속초,2022-04-06 16:00,3214
90,속초,2022-04-06 17:00,3026
90,속초,2022-04-06 18:00,2702
90,속초,2022-04-06 19:00,2201
90,속초,2022-04-06 20:00,2602
90,속초,2022-04-06 21:00,2423
90,속초,2022-04-06 22:00,2129
90,속초,2022-04-06 23:00,2302
90,속초,2022-04-07 00:00,2877
90,속초,2022-04-07 01:00,2916
90,속초,2022-04-07 02:00,3353
90,속초,2022-04-07 03:00,3419
90,속초,2022-04-07 04:00,2770
90,속초,2022-04-07 05:00,2348
90,속초,2022-04-07 06:00,2620
90,속초,2022-04-07 07:00,2769
90,속초,2022-04-07 08:00,2343
90,속초,2022-04-07 09:00,3334
90,속초,2022-04-07 10:00,3759
90,속초,2022-04-07 11:00,4527
90,속초,2022-04-07 12:00,3804
90,속초,2022-04-07 13:00,4492
90,속초,2022-04-07 14:00,5000
90,속초,2022-04-07 15:00,5000
90,속초,2022-04-07 16:00,5000
90,속초,2022-04-07 17:00,4237
90,속초,2022-04-07 18:00,4610
90,속초,2022-04-07 19:00,4296
90,속초,2022-04-07 20:00,4272
90,속초,2022-04-07 21:00,4608
90,속초,2022-04-07 22:00,4425
90,속초,2022-04-07 23:00,4609
90,속초,2022-04-08 00:00,4008
90,속초,2022-04-08 01:00,3979
90,속초,2022-04-08 02:00,4035
90,속초,2022-04-08 03:00,3871
90,속초,2022-04-08 04:00,4044
90,속초,2022-04-08 16:00,2085
90,속초,2022-04-08 17:00,3433
90,속초,2022-04-08 18:00,3667
90,속초,2022-04-08 19:00,3607
90,속초,2022-04-08 20:00,3685
90,속초,2022-04-08 21:00,4051
90,속초,2022-04-08 22:00,5000
90,속초,2022-04-08 23:00,4805
90,속초,2022-04-09 00:00,4976
90,속초,2022-04-09 01:00,4566
90,속초,2022-04-09 02:00,3873
90,속초,2022-04-09 03:00,3766
90,속초,2022-04-09 04:00,3484
90,속초,2022-04-09 05:00,2892
90,속초,2022-04-09 06:00,3944
90,속초,2022-04-09 07:00,2910
90,속초,2022-04-09 08:00,2767
90,속초,2022-04-09 09:00,2796
90,속초,2022-04-09 10:00,2335
90,속초,2022-04-09 11:00,2773
90,속초,2022-04-09 12:00,2823
90,속초,2022-04-09 13:00,3011
90,속초,2022-04-09 14:00,3194
90,속초,2022-04-09 15:00,2940
90,속초,2022-04-09 16:00,3021
90,속초,2022-04-09 17:00,3297
90,속초,2022-04-09 18:00,3458
90,속초,2022-04-09 19:00,3539
90,속초,2022-04-09 20:00,3658
90,속초,2022-04-09 21:00,3417
90,속초,2022-04-09 22:00,3377
90,속초,2022-04-09 23:00,3515
